run,users,mask,lam,snr_db,SER,rho_abs_cos,steps,batch
mask_ce_U8,8,soft,0.0,0.0,0.06899577,0.466641,8000,128
mask_ce_U8,8,soft,0.0,5.0,0.00309397,0.258023,8000,128
mask_ce_U8,8,soft,0.0,10.0,9.847e-05,0.236531,8000,128
mask_ce_U8,8,soft,0.0,15.0,1.29089e-05,0.239329,8000,128
mask_ce_U8,8,soft,0.0,20.0,5.7739e-06,0.241319,8000,128
mask_ce_U8,8,soft,0.0,25.0,4.3518e-06,0.242066,8000,128
mask_nce0.01_U8,8,soft,0.01,0.0,0.06025543,0.439299,8000,128
mask_nce0.01_U8,8,soft,0.01,5.0,0.00194641,0.338951,8000,128
mask_nce0.01_U8,8,soft,0.01,10.0,4.72e-05,0.354429,8000,128
mask_nce0.01_U8,8,soft,0.01,15.0,5.2917e-06,0.364641,8000,128
mask_nce0.01_U8,8,soft,0.01,20.0,2.3254e-06,0.36837,8000,128
mask_nce0.01_U8,8,soft,0.01,25.0,1.8494e-06,0.3696,8000,128
no_mask_ce_U8,8,none,0.0,0.0,0.56319153,0.999902,8000,128
no_mask_ce_U8,8,none,0.0,5.0,0.55811564,0.999902,8000,128
no_mask_ce_U8,8,none,0.0,10.0,0.55792562,0.999903,8000,128
no_mask_ce_U8,8,none,0.0,15.0,0.55787944,0.999903,8000,128
no_mask_ce_U8,8,none,0.0,20.0,0.55786692,0.999903,8000,128
no_mask_ce_U8,8,none,0.0,25.0,0.55788778,0.999903,8000,128
no_mask_nce_U8,8,none,0.01,0.0,0.56317495,0.989123,8000,128
no_mask_nce_U8,8,none,0.01,5.0,0.55812612,0.984589,8000,128
no_mask_nce_U8,8,none,0.01,10.0,0.55795308,0.983171,8000,128
no_mask_nce_U8,8,none,0.01,15.0,0.55795573,0.982778,8000,128
no_mask_nce_U8,8,none,0.01,20.0,0.55793355,0.982661,8000,128
no_mask_nce_U8,8,none,0.01,25.0,0.55792999,0.982625,8000,128
binary_nce_U8,8,binary,0.01,0.0,0.0920753,0.486318,8000,128
binary_nce_U8,8,binary,0.01,5.0,0.0058727,0.28419,8000,128
binary_nce_U8,8,binary,0.01,10.0,0.00027598,0.280523,8000,128
binary_nce_U8,8,binary,0.01,15.0,4.1e-05,0.293031,8000,128
binary_nce_U8,8,binary,0.01,20.0,1.69434e-05,0.298407,8000,128
binary_nce_U8,8,binary,0.01,25.0,1.312e-05,0.300242,8000,128
mask_nce0.0001_U8,8,soft,0.0001,0.0,0.0682486,0.507182,8000,128
mask_nce0.0001_U8,8,soft,0.0001,5.0,0.00299672,0.26536,8000,128
mask_nce0.0001_U8,8,soft,0.0001,10.0,9.644e-05,0.225704,8000,128
mask_nce0.0001_U8,8,soft,0.0001,15.0,1.14868e-05,0.222436,8000,128
mask_nce0.0001_U8,8,soft,0.0001,20.0,4.8401e-06,0.222108,8000,128
mask_nce0.0001_U8,8,soft,0.0001,25.0,4.37e-06,0.222066,8000,128
mask_nce0.001_U8,8,soft,0.001,0.0,0.05964294,0.573248,8000,128
mask_nce0.001_U8,8,soft,0.001,5.0,0.00189911,0.404085,8000,128
mask_nce0.001_U8,8,soft,0.001,10.0,4.517e-05,0.403029,8000,128
mask_nce0.001_U8,8,soft,0.001,15.0,4.7119e-06,0.415955,8000,128
mask_nce0.001_U8,8,soft,0.001,20.0,2.0813e-06,0.421423,8000,128
mask_nce0.001_U8,8,soft,0.001,25.0,1.53e-06,0.423287,8000,128
mask_nce0.1_U8,8,soft,0.1,0.0,0.06349762,0.38801,8000,128
mask_nce0.1_U8,8,soft,0.1,5.0,0.00218068,0.320025,8000,128
mask_nce0.1_U8,8,soft,0.1,10.0,5.107e-05,0.328471,8000,128
mask_nce0.1_U8,8,soft,0.1,15.0,5.8228e-06,0.330849,8000,128
mask_nce0.1_U8,8,soft,0.1,20.0,2.71e-06,0.331585,8000,128
mask_nce0.1_U8,8,soft,0.1,25.0,1.53e-06,0.331818,8000,128
mask_ce_U4,4,soft,0.0,0.0,0.0168278,0.307147,8000,128
mask_ce_U4,4,soft,0.0,5.0,0.00010315,0.321246,8000,128
mask_ce_U4,4,soft,0.0,10.0,5.391e-07,0.334489,8000,128
mask_ce_U4,4,soft,0.0,15.0,2e-07,0.338851,8000,128
mask_ce_U4,4,soft,0.0,20.0,2e-07,0.340212,8000,128
mask_ce_U4,4,soft,0.0,25.0,2e-07,0.340629,8000,128
mask_nce0.01_U4,4,soft,0.01,0.0,0.01619466,0.418546,8000,128
mask_nce0.01_U4,4,soft,0.01,5.0,8.972e-05,0.358515,8000,128
mask_nce0.01_U4,4,soft,0.01,10.0,6.816e-07,0.335172,8000,128
mask_nce0.01_U4,4,soft,0.01,15.0,0.0,0.327678,8000,128
mask_nce0.01_U4,4,soft,0.01,20.0,0.0,0.325316,8000,128
mask_nce0.01_U4,4,soft,0.01,25.0,0.0,0.324564,8000,128
mask_ce_U16,16,soft,0.0,0.0,0.39925883,0.546785,8000,64
mask_ce_U16,16,soft,0.0,5.0,0.26130656,0.611169,8000,64
mask_ce_U16,16,soft,0.0,10.0,0.2128776,0.637585,8000,64
mask_ce_U16,16,soft,0.0,15.0,0.19844157,0.645771,8000,64
mask_ce_U16,16,soft,0.0,20.0,0.19412842,0.648289,8000,64
mask_ce_U16,16,soft,0.0,25.0,0.19276469,0.649076,8000,64
mask_nce0.01_U16,16,soft,0.01,0.0,0.18751567,0.615716,8000,64
mask_nce0.01_U16,16,soft,0.01,5.0,0.03122233,0.384813,8000,64
mask_nce0.01_U16,16,soft,0.01,10.0,0.00440592,0.367726,8000,64
mask_nce0.01_U16,16,soft,0.01,15.0,0.00129557,0.377386,8000,64
mask_nce0.01_U16,16,soft,0.01,20.0,0.00076925,0.381894,8000,64
mask_nce0.01_U16,16,soft,0.01,25.0,0.00063477,0.383458,8000,64
mask_nce0.0003_U8,8,soft,0.0003,0.0,0.06384288,0.508478,8000,128
mask_nce0.0003_U8,8,soft,0.0003,5.0,0.00230611,0.367080,8000,128
mask_nce0.0003_U8,8,soft,0.0003,10.0,0.00006134,0.349916,8000,128
mask_nce0.0003_U8,8,soft,0.0003,15.0,0.0000063843,0.348875,8000,128
mask_nce0.0003_U8,8,soft,0.0003,20.0,0.0000024414,0.348978,8000,128
mask_nce0.0003_U8,8,soft,0.0003,25.0,0.00000305,0.349053,8000,128
mask_nce0.003_U8,8,soft,0.003,0.0,0.06268077,0.481956,8000,128
mask_nce0.003_U8,8,soft,0.003,5.0,0.00229726,0.355804,8000,128
mask_nce0.003_U8,8,soft,0.003,10.0,0.00006490,0.340691,8000,128
mask_nce0.003_U8,8,soft,0.003,15.0,0.0000058411,0.339800,8000,128
mask_nce0.003_U8,8,soft,0.003,20.0,0.0000023560,0.339918,8000,128
mask_nce0.003_U8,8,soft,0.003,25.0,0.00000244,0.339994,8000,128
mask_nce0.03_U8,8,soft,0.03,0.0,0.06433095,0.442001,8000,128
mask_nce0.03_U8,8,soft,0.03,5.0,0.00240367,0.407622,8000,128
mask_nce0.03_U8,8,soft,0.03,10.0,0.00006968,0.442990,8000,128
mask_nce0.03_U8,8,soft,0.03,15.0,0.0000069580,0.457980,8000,128
mask_nce0.03_U8,8,soft,0.03,20.0,0.0000025757,0.463018,8000,128
mask_nce0.03_U8,8,soft,0.03,25.0,0.00000346,0.464640,8000,128
mask_nce0.3_U8,8,soft,0.3,0.0,0.06236003,0.446524,8000,128
mask_nce0.3_U8,8,soft,0.3,5.0,0.00213806,0.295216,8000,128
mask_nce0.3_U8,8,soft,0.3,10.0,0.00005381,0.279742,8000,128
mask_nce0.3_U8,8,soft,0.3,15.0,0.0000048035,0.277384,8000,128
mask_nce0.3_U8,8,soft,0.3,20.0,0.0000018982,0.276818,8000,128
mask_nce0.3_U8,8,soft,0.3,25.0,0.00000326,0.276654,8000,128
